NumerTestu,Wariant,ShellSort,MergeSort,QuickSort
1,0.000% posortowana,999100,727900,669900
1,25.000% posortowana,280500,87700,74600
1,50.000% posortowana,268500,70200,63700
1,75.000% posortowana,244900,59200,45600
1,95.000% posortowana,197900,41400,46100
1,99.000% posortowana,46600,38000,24800
1,99.700% posortowana,18900,37100,21300
1,100.000% posortowana,10800,39800,9900
1,Tablica odwrotna,60600,70600,39700
2,0.000% posortowana,63400,70300,39900
2,25.000% posortowana,60500,69200,39000
2,50.000% posortowana,55700,57400,99300
2,75.000% posortowana,52800,57500,31100
2,95.000% posortowana,182600,80700,28600
2,99.000% posortowana,171700,106900,41300
2,99.700% posortowana,26500,57900,42100
2,100.000% posortowana,18300,56800,16900
2,Tablica odwrotna,105100,100200,53000
3,0.000% posortowana,90300,96600,55300
3,25.000% posortowana,87700,87800,52600
3,50.000% posortowana,76500,77900,46400
3,75.000% posortowana,51800,44600,38100
3,95.000% posortowana,137300,36600,23000
3,99.000% posortowana,21600,38900,20600
3,99.700% posortowana,24100,54700,50700
3,100.000% posortowana,11500,40800,9600
3,Tablica odwrotna,174800,71000,40800
4,0.000% posortowana,144700,72000,45200
4,25.000% posortowana,126000,70200,71000
4,50.000% posortowana,56500,55100,48500
4,75.000% posortowana,139200,48900,33200
4,95.000% posortowana,124700,45600,23900
4,99.000% posortowana,54000,37300,18200
4,99.700% posortowana,17000,42300,19600
4,100.000% posortowana,11400,35300,8900
4,Tablica odwrotna,42000,72200,48500
5,0.000% posortowana,41000,68500,40900
5,25.000% posortowana,45300,63500,38200
5,50.000% posortowana,39000,55700,37000
5,75.000% posortowana,46900,45400,29700
5,95.000% posortowana,24000,37800,22200
5,99.000% posortowana,10300,34300,25900
5,99.700% posortowana,6200,36500,27100
5,100.000% posortowana,3300,36000,10200
5,Tablica odwrotna,48700,70600,37700
6,0.000% posortowana,41400,66900,44700
6,25.000% posortowana,40500,60000,33900
6,50.000% posortowana,46600,49900,31200
6,75.000% posortowana,35600,43500,26700
6,95.000% posortowana,22300,40700,19400
6,99.000% posortowana,9700,36300,18300
6,99.700% posortowana,5700,38300,27900
6,100.000% posortowana,3300,38600,8800
6,Tablica odwrotna,41700,75900,38100
7,0.000% posortowana,41000,66500,37000
7,25.000% posortowana,46800,65700,38300
7,50.000% posortowana,39300,57600,43100
7,75.000% posortowana,34500,49300,30600
7,95.000% posortowana,23600,60900,25100
7,99.000% posortowana,9700,57500,32100
7,99.700% posortowana,5700,54300,52400
7,100.000% posortowana,6100,81500,8600
7,Tablica odwrotna,41500,75300,62800
8,0.000% posortowana,41000,76700,40200
8,25.000% posortowana,42500,68300,39000
8,50.000% posortowana,38900,60100,34600
8,75.000% posortowana,35500,47400,28300
8,95.000% posortowana,23700,36000,21800
8,99.000% posortowana,10900,35100,28000
8,99.700% posortowana,5800,35100,29900
8,100.000% posortowana,3300,37000,8700
8,Tablica odwrotna,49200,82100,40400
9,0.000% posortowana,42000,87100,38500
9,25.000% posortowana,40800,86200,35300
9,50.000% posortowana,39100,73500,31900
9,75.000% posortowana,35800,53800,29000
9,95.000% posortowana,23900,38200,32000
9,99.000% posortowana,11400,39200,22500
9,99.700% posortowana,5500,42800,30000
9,100.000% posortowana,3300,39400,8800
9,Tablica odwrotna,42000,77300,39400
10,0.000% posortowana,41300,68100,47900
10,25.000% posortowana,40500,70700,39200
10,50.000% posortowana,38100,63200,34600
10,75.000% posortowana,34400,47200,30400
10,95.000% posortowana,34800,60600,27300
10,99.000% posortowana,8900,37300,50500
10,99.700% posortowana,5400,38500,62700
10,100.000% posortowana,3400,44700,9400
10,Tablica odwrotna,42000,76300,40500
11,0.000% posortowana,43300,69800,36500
11,25.000% posortowana,41400,69000,34400
11,50.000% posortowana,39300,52800,31500
11,75.000% posortowana,35500,45800,26700
11,95.000% posortowana,23100,44300,22900
11,99.000% posortowana,12000,45400,23900
11,99.700% posortowana,6100,43500,37700
11,100.000% posortowana,3300,38600,8800
11,Tablica odwrotna,51300,70500,38100
12,0.000% posortowana,41200,76000,40600
12,25.000% posortowana,41400,62600,36700
12,50.000% posortowana,39800,59200,31700
12,75.000% posortowana,36000,48500,29600
12,95.000% posortowana,23900,40900,24400
12,99.000% posortowana,10500,41500,19600
12,99.700% posortowana,6000,38200,27500
12,100.000% posortowana,3400,35900,8500
12,Tablica odwrotna,42100,71500,37100
13,0.000% posortowana,41500,78000,39600
13,25.000% posortowana,40700,60800,44500
13,50.000% posortowana,39900,54900,33400
13,75.000% posortowana,37000,48000,29500
13,95.000% posortowana,23500,38400,20000
13,99.000% posortowana,9600,35500,15700
13,99.700% posortowana,5600,36700,26800
13,100.000% posortowana,6900,44200,8900
13,Tablica odwrotna,45400,96500,59500
14,0.000% posortowana,42100,75000,41400
14,25.000% posortowana,41300,60500,36000
14,50.000% posortowana,39000,93100,40600
14,75.000% posortowana,49100,53700,27500
14,95.000% posortowana,26400,58900,26200
14,99.000% posortowana,13300,56200,22900
14,99.700% posortowana,4600,51200,16800
14,100.000% posortowana,5200,47200,8000
14,Tablica odwrotna,53500,78300,40200
15,0.000% posortowana,41000,67900,39400
15,25.000% posortowana,42300,73900,40200
15,50.000% posortowana,38800,61100,34300
15,75.000% posortowana,35800,48800,33000
15,95.000% posortowana,23400,39800,23900
15,99.000% posortowana,8800,42800,27100
15,99.700% posortowana,5400,50900,37400
15,100.000% posortowana,3400,39700,8600
15,Tablica odwrotna,41000,69700,38300
16,0.000% posortowana,41300,90700,38000
16,25.000% posortowana,40000,64300,35900
16,50.000% posortowana,38700,56100,33900
16,75.000% posortowana,35400,68800,34600
16,95.000% posortowana,23900,45800,23300
16,99.000% posortowana,9600,39900,24300
16,99.700% posortowana,5800,36100,26500
16,100.000% posortowana,3400,72400,12100
16,Tablica odwrotna,52800,111400,51000
17,0.000% posortowana,51900,114400,45600
17,25.000% posortowana,51100,87600,45200
17,50.000% posortowana,45000,76800,41100
17,75.000% posortowana,37500,48100,32100
17,95.000% posortowana,32600,82800,31800
17,99.000% posortowana,12500,47300,25400
17,99.700% posortowana,6500,43300,42300
17,100.000% posortowana,5700,60800,11300
17,Tablica odwrotna,43100,77400,39600
18,0.000% posortowana,52200,108400,50200
18,25.000% posortowana,51000,94800,44700
18,50.000% posortowana,42100,58500,33600
18,75.000% posortowana,42900,72600,30300
18,95.000% posortowana,34800,96700,24200
18,99.000% posortowana,20600,71700,27300
18,99.700% posortowana,5900,86800,27500
18,100.000% posortowana,4600,2415900,14100
18,Tablica odwrotna,50700,87300,49900
19,0.000% posortowana,49600,104000,48300
19,25.000% posortowana,40600,52000,47100
19,50.000% posortowana,38600,40700,35500
19,75.000% posortowana,37000,42600,40700
19,95.000% posortowana,25800,44600,29000
19,99.000% posortowana,13600,62300,45200
19,99.700% posortowana,6300,45700,63100
19,100.000% posortowana,3300,33900,9300
19,Tablica odwrotna,41300,58300,38300
20,0.000% posortowana,42100,56900,45500
20,25.000% posortowana,41300,46900,37000
20,50.000% posortowana,39000,47400,34100
20,75.000% posortowana,34800,48600,30000
20,95.000% posortowana,22900,43800,22800
20,99.000% posortowana,9100,42900,23800
20,99.700% posortowana,11900,27400,35300
20,100.000% posortowana,3300,20300,8700
20,Tablica odwrotna,43800,61500,45500
21,0.000% posortowana,43300,82800,38200
21,25.000% posortowana,50600,107400,47700
21,50.000% posortowana,48400,97700,57000
21,75.000% posortowana,46000,92500,41200
21,95.000% posortowana,28000,51100,23900
21,99.000% posortowana,14800,70800,24800
21,99.700% posortowana,8300,33600,26200
21,100.000% posortowana,6400,52000,9300
21,Tablica odwrotna,40900,57500,39400
22,0.000% posortowana,43700,67400,39400
22,25.000% posortowana,45700,53600,41500
22,50.000% posortowana,54800,64400,42100
22,75.000% posortowana,48100,60600,37300
22,95.000% posortowana,31800,42300,28200
22,99.000% posortowana,11800,19000,24500
22,99.700% posortowana,5700,42800,35800
22,100.000% posortowana,3200,48100,11400
22,Tablica odwrotna,44500,86400,38100
23,0.000% posortowana,53500,89600,44700
23,25.000% posortowana,50500,56000,38200
23,50.000% posortowana,44800,47100,41300
23,75.000% posortowana,39100,27800,30900
23,95.000% posortowana,22400,25400,30800
23,99.000% posortowana,11200,30200,60500
23,99.700% posortowana,6000,19600,66400
23,100.000% posortowana,3300,19100,8800
23,Tablica odwrotna,42500,60200,44700
24,0.000% posortowana,45000,62900,39200
24,25.000% posortowana,40200,46300,35800
24,50.000% posortowana,47300,37100,33900
24,75.000% posortowana,36800,36600,32200
24,95.000% posortowana,23300,22300,19100
24,99.000% posortowana,11200,19600,15900
24,99.700% posortowana,5100,20100,24600
24,100.000% posortowana,4100,28400,12300
24,Tablica odwrotna,53900,84800,52700
25,0.000% posortowana,41500,77000,47800
25,25.000% posortowana,76600,76500,46800
25,50.000% posortowana,42700,52900,34100
25,75.000% posortowana,38600,28200,29100
25,95.000% posortowana,31400,30300,23600
25,99.000% posortowana,9700,21000,25200
25,99.700% posortowana,7900,30800,48000
25,100.000% posortowana,3400,18900,12200
25,Tablica odwrotna,41300,64900,38900
26,0.000% posortowana,40900,55100,36500
26,25.000% posortowana,43000,46400,41100
26,50.000% posortowana,39500,40300,41400
26,75.000% posortowana,35200,29500,33300
26,95.000% posortowana,22700,29700,25100
26,99.000% posortowana,11700,25500,40500
26,99.700% posortowana,6100,22500,57900
26,100.000% posortowana,3300,18600,9500
26,Tablica odwrotna,41200,65400,38600
27,0.000% posortowana,50300,57400,37600
27,25.000% posortowana,46600,50000,36000
27,50.000% posortowana,39100,37000,31600
27,75.000% posortowana,43100,33400,27300
27,95.000% posortowana,30500,20800,20200
27,99.000% posortowana,10100,22000,15400
27,99.700% posortowana,11900,28500,17100
27,100.000% posortowana,3200,21300,9300
27,Tablica odwrotna,53700,93800,39600
28,0.000% posortowana,49500,76900,36700
28,25.000% posortowana,45100,54900,35400
28,50.000% posortowana,39500,53200,38200
28,75.000% posortowana,43700,55300,37700
28,95.000% posortowana,44800,39200,32800
28,99.000% posortowana,16000,46200,24700
28,99.700% posortowana,5200,20400,33300
28,100.000% posortowana,3300,32400,9800
28,Tablica odwrotna,53700,55800,47400
29,0.000% posortowana,55400,103100,49900
29,25.000% posortowana,45000,72200,52000
29,50.000% posortowana,51600,66200,47600
29,75.000% posortowana,50800,61900,57500
